Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,2,Not Graduate,Yes,1782,1020,155.7,12.0,1.0,Semiurban,1
Male,Yes,0,Not Graduate,No,1628,460,,36.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2069,4755,41.6,180.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,1500,0,68.7,480.0,1.0,Urban,1
Male,Yes,1,Graduate,No,1670,0,109.2,12.0,,Urban,0
Male,Yes,0,Graduate,Yes,2967,0,136.8,84.0,,Semiurban,0
Male,Yes,0,Not Graduate,No,1500,1059,64.1,300.0,0.0,Semiurban,0
Male,Yes,0,Graduate,No,1500,980,21.0,480.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,5165,1382,116.9,120.0,1.0,Semiurban,1
Male,No,1,Not Graduate,No,4141,3028,48.9,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,1500,2029,32.8,180.0,1.0,Rural,0
Female,No,2,Graduate,No,2734,0,21.8,12.0,1.0,Rural,0
Female,No,0,Graduate,No,1500,0,135.2,180.0,1.0,Semiurban,1
Female,Yes,0,Graduate,No,2117,1365,96.0,180.0,0.0,Semiurban,0
Male,Yes,0,Graduate,No,2157,1773,,180.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,1570,3061,180.3,300.0,1.0,Rural,1
Male,Yes,0,Graduate,No,1500,503,123.8,180.0,1.0,Rural,1
Male,No,0,Not Graduate,No,1500,0,202.0,120.0,,Semiurban,0
Male,Yes,1,Graduate,No,1500,755,44.9,36.0,1.0,Semiurban,1
Male,Yes,0,Not Graduate,No,1500,365,88.5,84.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,1736,1397,40.1,480.0,1.0,Semiurban,1
Female,Yes,2,Graduate,No,1500,0,80.3,120.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,2722,302,79.5,480.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,4413,1072,123.1,84.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,1500,1717,92.1,36.0,1.0,Urban,1
Male,No,0,Not Graduate,No,2087,0,122.9,240.0,1.0,Rural,0
Male,Yes,0,Graduate,No,2440,0,128.0,480.0,0.0,Rural,0
Male,Yes,3+,Graduate,Yes,2399,441,264.4,480.0,1.0,Semiurban,1
Female,Yes,0,Not Graduate,No,1892,0,,36.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2823,0,56.2,12.0,1.0,Urban,1
Female,Yes,1,Graduate,No,2414,0,,120.0,1.0,Urban,1
Female,Yes,1,Graduate,No,1500,0,60.3,12.0,1.0,Urban,1
Male,Yes,1,Graduate,Yes,3045,0,188.9,12.0,1.0,Semiurban,1
Female,Yes,0,Graduate,No,3079,1137,78.1,12.0,1.0,Rural,1
Male,Yes,0,Graduate,No,1500,0,67.8,180.0,1.0,Semiurban,1
Male,No,0,Not Graduate,No,1849,2326,71.1,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2724,0,,480.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,1594,2064,83.2,12.0,1.0,Urban,1
Male,Yes,0,Not Graduate,Yes,3441,0,65.3,120.0,0.0,Urban,0
Male,No,0,Graduate,No,7467,0,207.0,360.0,1.0,Rural,0
Female,Yes,0,Graduate,No,1500,1372,58.7,360.0,1.0,Rural,1
Male,Yes,0,Graduate,No,1500,0,91.6,12.0,1.0,Semiurban,1
Male,No,1,Not Graduate,No,2169,450,124.7,300.0,1.0,Semiurban,0
Male,No,1,Graduate,Yes,2787,0,39.8,12.0,1.0,Rural,0
Male,No,2,Graduate,No,1574,612,114.4,300.0,1.0,Urban,1
Female,Yes,0,Graduate,No,4324,701,53.1,,1.0,Rural,0
Male,Yes,0,Graduate,No,1500,0,135.8,120.0,1.0,Semiurban,1
Female,No,0,Not Graduate,No,2740,519,55.6,300.0,1.0,Semiurban,1
Male,No,1,Not Graduate,No,1500,0,127.3,180.0,1.0,Urban,1
Male,Yes,1,Graduate,No,5072,2784,156.5,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,Yes,5976,4205,138.5,12.0,1.0,Rural,1
Female,Yes,3+,Graduate,No,1500,465,102.1,360.0,0.0,Urban,0
Male,No,0,Not Graduate,No,1500,1152,80.2,12.0,0.0,Semiurban,0
Male,Yes,0,Graduate,No,3028,443,67.5,480.0,1.0,Urban,1
Male,Yes,1,Graduate,No,1500,673,187.8,480.0,1.0,Rural,1
Male,Yes,2,Graduate,Yes,1759,576,63.5,60.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,1835,2611,53.6,12.0,1.0,Rural,1
Male,Yes,2,Graduate,No,1500,0,125.5,60.0,1.0,Semiurban,1
Female,Yes,0,Graduate,No,1793,0,60.5,36.0,1.0,Urban,1
Male,Yes,2,Graduate,Yes,1500,1673,56.0,36.0,1.0,Urban,0
Male,Yes,0,Not Graduate,No,1500,0,43.7,360.0,1.0,Urban,1
Male,Yes,2,Graduate,No,4299,389,70.7,300.0,1.0,Urban,0
Male,Yes,0,Graduate,No,1500,0,,12.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,2945,0,,84.0,1.0,Urban,1
Male,Yes,0,Graduate,No,1529,0,144.8,12.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,1528,2219,117.1,12.0,1.0,Semiurban,1
Female,Yes,0,Graduate,Yes,2905,0,81.8,84.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,2217,935,,36.0,1.0,Rural,1
Male,Yes,0,Graduate,Yes,2546,0,116.2,60.0,1.0,Semiurban,1
Male,No,0,Graduate,No,3232,662,170.1,360.0,1.0,Rural,1
Male,Yes,0,Graduate,No,1500,0,95.9,36.0,1.0,Urban,0
Male,No,0,Not Graduate,Yes,1500,0,71.2,84.0,0.0,Semiurban,0
Male,Yes,2,Graduate,No,1500,0,54.8,12.0,1.0,Semiurban,1
Male,No,0,Not Graduate,Yes,1500,630,,36.0,0.0,Semiurban,0
Male,No,3+,Graduate,No,10608,0,125.6,120.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,3815,2338,120.2,480.0,0.0,Semiurban,1
Male,Yes,0,Graduate,Yes,1500,0,120.1,12.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,1500,820,84.4,240.0,1.0,Semiurban,1
Male,Yes,1,Not Graduate,No,2414,1123,181.9,84.0,1.0,Rural,0
Male,No,0,Graduate,No,2510,1185,70.7,180.0,1.0,Rural,0
Male,No,1,Not Graduate,Yes,2513,967,145.1,300.0,1.0,Urban,0
Male,No,1,Graduate,No,1551,1446,88.3,180.0,1.0,Urban,1
Female,Yes,0,Graduate,No,1676,1781,66.4,36.0,1.0,Rural,1
Male,No,3+,Graduate,No,2201,1833,121.1,12.0,0.0,Rural,0
Male,No,3+,Graduate,Yes,1903,0,,300.0,1.0,Urban,0
Male,Yes,1,Graduate,Yes,1500,0,,300.0,0.0,Semiurban,0
Male,Yes,0,Graduate,No,1575,2530,93.8,360.0,1.0,Rural,0
Male,No,1,Graduate,No,1500,2051,88.3,180.0,1.0,Rural,1
Male,Yes,0,Graduate,No,2008,419,,12.0,1.0,Urban,1
Male,No,0,Graduate,No,10841,1402,162.7,360.0,1.0,Semiurban,1
Female,Yes,0,Not Graduate,No,2254,0,129.2,60.0,,Rural,0
Female,No,0,Not Graduate,No,1500,0,,180.0,1.0,Rural,0
Male,Yes,2,Graduate,No,3143,4139,148.9,480.0,1.0,Rural,1
Female,Yes,1,Graduate,No,2415,564,116.6,480.0,1.0,Rural,1
Female,Yes,1,Graduate,No,2326,611,,360.0,1.0,Urban,1
Male,No,0,Not Graduate,No,2602,0,77.3,60.0,1.0,Rural,0
Female,No,0,Graduate,No,6210,0,86.4,120.0,1.0,Urban,1
Male,Yes,0,Graduate,No,1500,704,18.4,,1.0,Rural,0
Female,Yes,3+,Not Graduate,No,2402,1664,100.0,480.0,1.0,Semiurban,0
Female,No,0,Graduate,No,1500,0,70.5,240.0,1.0,Rural,1
Male,Yes,2,Graduate,No,2523,0,199.6,84.0,1.0,Urban,1
Male,No,1,Graduate,No,1500,1846,,84.0,1.0,Semiurban,1
Male,Yes,0,Graduate,Yes,1500,1473,49.7,240.0,1.0,Urban,1
Male,Yes,1,Graduate,No,1514,1321,87.8,360.0,1.0,Semiurban,1
Female,Yes,0,Graduate,No,3247,864,53.4,84.0,1.0,Rural,1
Female,Yes,2,Graduate,No,3137,1420,114.1,84.0,,Rural,0
Male,No,3+,Graduate,No,1500,1005,104.1,180.0,1.0,Semiurban,1
Male,Yes,0,Not Graduate,No,1868,1510,,180.0,1.0,Urban,0
Male,Yes,0,Graduate,Yes,1500,774,60.6,240.0,1.0,Rural,0
Male,No,1,Graduate,No,1500,0,91.6,12.0,0.0,Rural,0
Male,Yes,3+,Graduate,No,1587,548,45.5,60.0,1.0,Rural,1
Male,Yes,0,Not Graduate,No,1502,1070,127.8,360.0,1.0,Rural,0
Female,No,1,Graduate,No,7754,621,116.7,180.0,1.0,Rural,1
Male,Yes,1,Graduate,No,2344,502,115.3,180.0,0.0,Semiurban,1
Male,Yes,1,Not Graduate,No,1500,0,90.1,,0.0,Rural,0
Male,No,0,Not Graduate,No,1500,1272,,60.0,0.0,Semiurban,0
Male,Yes,1,Graduate,Yes,3337,1896,200.8,120.0,0.0,Rural,0
Female,Yes,3+,Not Graduate,No,6330,0,78.1,12.0,1.0,Rural,0
Female,Yes,0,Graduate,No,1500,1459,96.5,60.0,1.0,Urban,1
Male,No,0,Graduate,No,1500,0,52.3,84.0,,Semiurban,0
Male,Yes,3+,Graduate,No,5555,1497,58.3,120.0,1.0,Urban,1
Male,Yes,0,Graduate,Yes,2284,615,94.5,480.0,1.0,Urban,1
Male,No,2,Graduate,No,1500,1217,156.3,360.0,1.0,Semiurban,1
Male,No,0,Graduate,Yes,2491,1415,79.2,84.0,1.0,Rural,1
Male,Yes,0,Graduate,No,1500,0,80.0,60.0,1.0,Urban,1
Male,Yes,2,Graduate,No,1811,0,73.4,480.0,0.0,Semiurban,0
Male,Yes,0,Not Graduate,Yes,2201,1227,68.9,12.0,1.0,Rural,0
Male,No,0,Graduate,No,3148,5160,104.3,480.0,1.0,Rural,0
Female,Yes,0,Graduate,Yes,1500,0,42.6,180.0,0.0,Semiurban,0
Male,Yes,1,Graduate,No,1903,0,170.8,240.0,0.0,Rural,0
Male,No,0,Not Graduate,No,1500,1424,64.5,480.0,1.0,Semiurban,0
Male,No,0,Graduate,Yes,2107,1364,129.1,300.0,0.0,Urban,0
Female,Yes,3+,Not Graduate,No,1500,2527,47.7,12.0,1.0,Urban,1
Male,No,0,Graduate,Yes,1500,0,125.8,84.0,,Urban,0
Male,Yes,1,Graduate,No,1500,1829,126.0,120.0,1.0,Semiurban,1
Male,No,0,Graduate,No,2672,1657,109.1,36.0,1.0,Rural,1
Male,Yes,2,Graduate,No,3026,0,54.8,12.0,1.0,Rural,1
Male,Yes,0,Graduate,Yes,1570,1390,,300.0,1.0,Semiurban,1
Male,No,3+,Not Graduate,No,1850,2254,49.8,180.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,1500,2019,79.3,120.0,1.0,Urban,1
Male,Yes,0,Graduate,No,1510,492,150.6,360.0,1.0,Rural,1
Male,No,0,Not Graduate,No,1754,1947,134.1,36.0,0.0,Rural,0
Male,No,0,Graduate,No,8712,1048,90.7,480.0,0.0,Urban,1
Female,Yes,0,Not Graduate,No,1500,1154,55.3,300.0,1.0,Urban,0
Male,No,0,Graduate,No,4352,1154,124.3,480.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,3288,0,90.9,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2139,0,28.2,12.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,5193,1034,133.1,240.0,1.0,Semiurban,1
Male,Yes,1,Not Graduate,Yes,2260,500,88.9,300.0,1.0,Semiurban,1
Male,No,1,Graduate,No,2283,832,164.2,60.0,1.0,Urban,1
Male,Yes,0,Graduate,No,1751,1242,52.1,84.0,0.0,Semiurban,1
Male,Yes,0,Graduate,No,3767,2592,,60.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,3490,0,,240.0,1.0,Rural,1
Male,No,1,Not Graduate,No,1500,604,104.1,360.0,1.0,Rural,0
Male,Yes,1,Graduate,Yes,1500,6245,38.7,60.0,1.0,Rural,1
Male,Yes,0,Graduate,No,1600,1319,55.2,180.0,1.0,Rural,1
Female,Yes,2,Not Graduate,No,1500,0,,300.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,1740,986,77.3,180.0,0.0,Semiurban,0
Male,Yes,1,Not Graduate,No,3798,0,129.7,36.0,0.0,Rural,0
Male,No,2,Graduate,No,1500,1973,65.0,240.0,1.0,Urban,1
Female,No,0,Graduate,No,1762,0,31.7,36.0,1.0,Semiurban,1
Female,Yes,0,Graduate,No,1872,0,82.7,36.0,1.0,Semiurban,1
Male,No,0,Graduate,No,3008,2019,78.8,36.0,,Semiurban,0
Male,No,0,Not Graduate,Yes,1500,879,73.7,12.0,1.0,Urban,0
Female,No,0,Graduate,No,1500,734,85.0,12.0,1.0,Semiurban,1
Male,Yes,3+,Graduate,No,2052,1384,102.7,240.0,1.0,Rural,1
Male,Yes,0,Graduate,Yes,3714,0,83.5,120.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,1500,0,47.8,60.0,0.0,Rural,0
Male,Yes,0,Graduate,No,1500,0,114.8,12.0,1.0,Semiurban,1
Female,No,3+,Not Graduate,No,2622,0,34.0,480.0,1.0,Rural,0
Female,No,0,Graduate,No,1500,577,32.3,180.0,1.0,Semiurban,0
Male,No,0,Graduate,No,1500,610,130.3,12.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,1500,0,,,1.0,Urban,0
Male,Yes,0,Graduate,No,1618,1360,87.5,36.0,1.0,Urban,1
Male,No,3+,Graduate,No,1500,0,44.8,12.0,0.0,Semiurban,0
Female,No,3+,Graduate,Yes,1500,2825,63.2,240.0,1.0,Semiurban,0
Female,Yes,0,Not Graduate,No,3097,1475,,180.0,1.0,Semiurban,1
Male,No,3+,Graduate,No,3885,0,40.5,180.0,1.0,Urban,1
Male,No,1,Graduate,No,2672,401,62.2,120.0,1.0,Rural,1
Male,Yes,2,Graduate,No,1500,0,124.7,84.0,1.0,Rural,1
Male,Yes,0,Not Graduate,No,1602,0,183.8,84.0,,Urban,0
Female,Yes,0,Graduate,No,1800,0,73.0,60.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2589,0,131.4,480.0,1.0,Rural,1
Male,Yes,1,Graduate,No,2699,981,34.6,300.0,1.0,Semiurban,1
Male,No,0,Graduate,No,1500,0,125.2,240.0,1.0,Urban,1
Male,Yes,0,Graduate,No,1899,5516,60.2,360.0,0.0,Semiurban,0
Male,Yes,0,Graduate,No,2378,965,105.0,12.0,1.0,Urban,1
Male,Yes,1,Graduate,No,4330,0,79.5,240.0,1.0,Urban,1
Male,Yes,0,Graduate,Yes,2759,2201,174.2,480.0,1.0,Urban,1
Male,No,1,Not Graduate,No,2902,3612,58.1,84.0,1.0,Semiurban,1
Male,Yes,3+,Not Graduate,No,1901,348,123.2,240.0,1.0,Urban,0
Male,Yes,0,Graduate,No,4214,314,78.3,12.0,,Rural,0
Male,No,1,Graduate,No,2311,0,83.2,120.0,0.0,Urban,0
Male,Yes,0,Graduate,No,1500,1648,,60.0,1.0,Urban,1
Male,Yes,2,Graduate,No,4196,0,59.0,120.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2748,0,89.4,84.0,1.0,Urban,1
Male,Yes,1,Graduate,No,1500,0,87.2,36.0,0.0,Semiurban,0
Female,Yes,2,Graduate,No,1500,216,101.6,84.0,,Urban,1
Male,Yes,3+,Not Graduate,No,2160,0,93.9,60.0,1.0,Urban,0
Male,Yes,1,Graduate,Yes,2387,614,134.2,12.0,1.0,Urban,1
Male,No,0,Graduate,Yes,2035,0,142.8,480.0,1.0,Semiurban,1
Male,Yes,1,Not Graduate,No,2179,1213,53.2,300.0,1.0,Urban,1
Male,Yes,2,Graduate,No,5013,0,139.0,120.0,1.0,Rural,1
Male,Yes,1,Graduate,No,3438,0,49.7,84.0,1.0,Semiurban,1
Female,Yes,0,Graduate,Yes,2027,795,120.8,480.0,1.0,Semiurban,1
Male,No,3+,Graduate,No,3180,980,122.7,120.0,1.0,Semiurban,1
Female,Yes,1,Not Graduate,No,1500,0,34.6,84.0,1.0,Semiurban,1
Male,No,1,Graduate,Yes,2295,426,94.3,60.0,1.0,Rural,1
Male,Yes,0,Graduate,Yes,5353,0,,120.0,1.0,Urban,1
Male,Yes,1,Not Graduate,No,1586,1579,,84.0,0.0,Urban,0
Male,Yes,0,Not Graduate,No,1500,1373,176.9,12.0,1.0,Urban,0
Male,No,1,Not Graduate,No,1500,0,64.9,60.0,1.0,Urban,0
Male,Yes,0,Graduate,No,1500,0,60.1,480.0,1.0,Urban,1
Male,Yes,1,Graduate,No,1500,0,93.5,480.0,1.0,Semiurban,1
Male,Yes,3+,Not Graduate,Yes,1500,238,126.8,,1.0,Semiurban,1
Male,No,0,Not Graduate,No,1500,0,83.9,240.0,1.0,Rural,0
Male,Yes,3+,Graduate,No,1825,2981,161.3,36.0,1.0,Urban,1
Male,No,0,Graduate,No,3106,0,117.4,12.0,1.0,Urban,1
Female,Yes,2,Graduate,No,1500,0,30.3,60.0,1.0,Rural,1
Female,Yes,2,Not Graduate,No,4498,1380,69.1,120.0,1.0,Rural,1
Female,Yes,1,Graduate,No,2456,2635,68.0,480.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,3355,801,114.4,12.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,1500,0,24.2,60.0,1.0,Rural,1
Female,Yes,0,Graduate,No,3019,276,322.0,60.0,,Semiurban,0
Male,No,0,Not Graduate,Yes,1500,0,117.4,120.0,1.0,Urban,0
Female,Yes,1,Graduate,Yes,3084,4579,97.0,60.0,1.0,Rural,1
Female,Yes,2,Not Graduate,No,2004,0,162.5,360.0,0.0,Semiurban,0
Female,Yes,2,Not Graduate,No,2519,0,290.6,12.0,0.0,Urban,0
Male,Yes,2,Graduate,Yes,1500,1373,139.1,84.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,1500,1088,144.7,480.0,0.0,Semiurban,0
Female,Yes,2,Graduate,Yes,2587,620,96.1,480.0,,Rural,0
Male,Yes,0,Not Graduate,No,1500,0,83.9,84.0,,Urban,0
Male,No,0,Graduate,No,2387,0,71.0,12.0,1.0,Rural,1
Male,No,0,Graduate,No,1500,1110,59.6,36.0,1.0,Semiurban,1
Female,Yes,0,Not Graduate,No,3007,0,63.8,12.0,0.0,Semiurban,0
Male,Yes,0,Graduate,No,1500,2731,,180.0,,Urban,1
Male,Yes,0,Not Graduate,Yes,2518,1746,86.7,60.0,1.0,Rural,0
Male,Yes,1,Graduate,No,2631,0,38.8,240.0,1.0,Rural,1
Male,Yes,0,Graduate,No,1500,2211,99.0,120.0,0.0,Semiurban,0
Female,Yes,0,Graduate,No,2563,774,,360.0,1.0,Urban,1
Male,No,0,Not Graduate,No,2113,634,96.9,240.0,0.0,Semiurban,0
Male,No,0,Graduate,Yes,1500,644,69.3,84.0,1.0,Rural,1
Female,Yes,0,Not Graduate,No,1500,317,419.2,120.0,1.0,Urban,0
Male,Yes,0,Not Graduate,No,1500,1525,177.7,120.0,0.0,Semiurban,0
Male,Yes,1,Graduate,No,2230,0,48.3,120.0,1.0,Semiurban,1
Male,No,1,Not Graduate,No,1500,464,101.1,480.0,1.0,Urban,1
Male,Yes,1,Graduate,No,1914,256,66.4,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,1543,1032,54.2,480.0,1.0,Urban,0
Female,No,0,Graduate,Yes,2717,987,46.1,60.0,1.0,Rural,1
Female,Yes,2,Not Graduate,No,1508,0,111.7,180.0,1.0,Semiurban,1
Female,No,0,Graduate,No,1500,0,64.0,300.0,0.0,Semiurban,0
Female,Yes,0,Graduate,No,2804,482,146.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2210,0,148.0,240.0,1.0,Urban,1
Male,Yes,0,Graduate,No,2185,745,178.9,60.0,1.0,Rural,1
Male,No,0,Graduate,Yes,2396,1368,58.8,12.0,1.0,Semiurban,0
Male,No,0,Not Graduate,No,1500,590,114.2,84.0,1.0,Semiurban,1
Male,No,1,Not Graduate,No,2847,1244,123.5,180.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,2610,2730,71.0,,1.0,Semiurban,1
Female,No,1,Not Graduate,No,1500,0,61.2,12.0,1.0,Urban,0
Male,Yes,2,Graduate,No,1561,821,201.3,180.0,1.0,Urban,1
Male,Yes,2,Not Graduate,No,1765,0,100.9,12.0,1.0,Urban,0
Male,No,1,Graduate,Yes,1667,926,,360.0,1.0,Rural,1
Male,Yes,3+,Graduate,No,2209,1102,59.7,,1.0,Urban,1
Male,Yes,0,Graduate,No,4267,0,48.9,180.0,0.0,Urban,0
Male,Yes,0,Not Graduate,No,3460,977,67.7,12.0,1.0,Rural,0
Male,Yes,0,Graduate,Yes,1500,1272,84.6,240.0,1.0,Urban,1
Male,Yes,1,Graduate,No,2626,0,52.9,60.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,4013,0,89.6,180.0,1.0,Urban,1
Male,Yes,0,Graduate,No,2280,0,38.7,240.0,1.0,Urban,1
Male,No,3+,Graduate,Yes,3479,0,51.4,12.0,1.0,Semiurban,0
Female,No,0,Graduate,No,6047,0,125.9,12.0,1.0,Urban,1
Male,Yes,3+,Not Graduate,No,3341,0,121.7,120.0,1.0,Rural,1
Male,Yes,0,Graduate,No,2099,587,74.0,180.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,3384,1571,54.1,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,1972,1123,53.9,12.0,1.0,Urban,1
Male,Yes,0,Not Graduate,No,1834,276,74.7,84.0,1.0,Semiurban,1
Male,Yes,0,Not Graduate,No,1500,0,124.2,480.0,1.0,Urban,1
Male,Yes,0,Graduate,No,4619,0,143.2,300.0,1.0,Urban,1
Male,Yes,2,Graduate,No,1500,546,70.2,480.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,4534,1471,50.6,360.0,1.0,Rural,1
Male,Yes,0,Graduate,No,2440,0,102.9,60.0,1.0,Semiurban,1
Male,No,1,Not Graduate,Yes,1500,1174,59.6,,1.0,Rural,0
Male,No,1,Graduate,Yes,2254,0,69.5,84.0,1.0,Rural,0
Female,Yes,0,Graduate,Yes,1500,312,174.6,36.0,1.0,Urban,1
Male,No,0,Graduate,No,2631,838,136.1,12.0,,Rural,1
Male,Yes,0,Not Graduate,No,3075,1005,97.4,,1.0,Rural,0
Male,No,0,Graduate,Yes,1500,830,47.7,240.0,1.0,Semiurban,1
Male,No,1,Graduate,No,1947,0,100.1,12.0,1.0,Rural,1
Male,Yes,0,Graduate,No,5840,0,153.1,36.0,1.0,Urban,1
Male,Yes,0,Not Graduate,No,1500,0,74.6,12.0,1.0,Urban,0
Male,Yes,1,Graduate,No,1500,1062,176.9,300.0,1.0,Rural,0
Female,Yes,0,Graduate,No,4398,1246,171.8,120.0,1.0,Semiurban,1
Female,Yes,1,Graduate,Yes,5869,0,206.8,300.0,1.0,Urban,1
Male,Yes,0,Graduate,No,1812,0,104.9,60.0,1.0,Urban,1
Male,Yes,3+,Graduate,No,3317,481,120.7,240.0,1.0,Rural,1
Male,No,0,Graduate,No,4043,1542,182.6,300.0,1.0,Rural,1
Male,No,2,Graduate,No,1500,0,112.6,180.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,1500,1535,70.1,240.0,0.0,Rural,0
Male,Yes,0,Graduate,Yes,3783,951,71.9,36.0,1.0,Urban,0
Male,Yes,1,Not Graduate,No,4969,757,101.4,300.0,1.0,Urban,1
Male,Yes,3+,Graduate,No,2534,2264,47.2,120.0,1.0,Semiurban,1
Male,No,1,Not Graduate,No,1500,0,83.8,240.0,1.0,Rural,0
Female,Yes,2,Graduate,Yes,5956,0,,12.0,1.0,Urban,1
Male,Yes,2,Graduate,No,1500,830,30.1,,1.0,Urban,1
Male,Yes,0,Graduate,No,1500,2608,193.9,12.0,1.0,Rural,1
Male,Yes,0,Graduate,No,2220,1430,157.8,300.0,0.0,Rural,0
Male,No,1,Graduate,No,4593,556,71.5,84.0,1.0,Semiurban,1
Male,No,0,Graduate,No,3018,882,118.1,84.0,1.0,Urban,1
Male,Yes,2,Graduate,No,2319,0,90.2,36.0,1.0,Rural,0
Male,Yes,3+,Not Graduate,No,2387,667,166.5,,0.0,Rural,0
Male,Yes,0,Graduate,No,1855,2175,147.1,12.0,1.0,Semiurban,1
Male,No,0,Not Graduate,No,2527,419,,360.0,1.0,Rural,0
Male,No,2,Graduate,No,1500,3381,120.7,120.0,0.0,Rural,0
Male,Yes,0,Graduate,No,1513,1958,81.2,,0.0,Rural,0
Female,Yes,2,Graduate,No,2089,2353,,36.0,1.0,Rural,1
Male,No,0,Graduate,No,1500,0,62.5,480.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,2279,987,215.7,480.0,1.0,Semiurban,1
Male,No,0,Graduate,No,1599,402,151.4,12.0,0.0,Semiurban,0
Male,Yes,1,Graduate,Yes,5183,0,62.2,84.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,4646,0,,240.0,1.0,Rural,1
Male,Yes,1,Graduate,No,1500,2716,,180.0,1.0,Rural,1
Male,Yes,0,Not Graduate,No,1651,0,111.9,480.0,0.0,Semiurban,0
Male,Yes,1,Not Graduate,No,1729,849,101.5,12.0,1.0,Semiurban,1
Male,No,2,Not Graduate,No,1500,986,168.4,12.0,,Semiurban,0
